origin,destination,routeCount,ok,mismatches
Andrew,Arlington,3,false,"Mock Route 1;Mock Route 2;Mock Route 3"
Franklin/Dean College,Lincoln,3,false,"Mock Route 1;Mock Route 2;Mock Route 3"
Ayer,Packards Corner,8,true,""
Kendal Green,Winchester Center,8,true,""
Needham Center,Reading,8,true,""
Dedham Corporate Center,West Medford,8,true,""
Warren Street,Savin Hill,8,true,""
Fields Corner,Mishawum,8,true,""
Nantasket Junction,Dedham Corporate Center,8,true,""
Wickford Junction,Braintree,8,true,""
West Newton,Waban,8,true,""
Brookline Village,South Weymouth,8,true,""
JFK/UMass,Bradford,8,true,""
Montserrat,Ayer,8,true,""
Mishawum,Shawmut,8,true,""
JFK/UMass,Roslindale Village,8,true,""
Summit Avenue,Blandford Street,8,true,""
Lawrence,Norwood Central,8,true,""
Worcester/Union Station,Massachusetts Avenue,8,true,""
Melrose Highlands,Mission Park,8,true,""
