file,line,theme,classes,fg_hex,bg_hex,contrast,passes
app\layout.tsx,22,light,"${inter.variable} font-sans antialiased bg-background text-foreground relative",#0f172a,#ffffff,17.85,PASS
app\layout.tsx,22,dark,"${inter.variable} font-sans antialiased bg-background text-foreground relative",#e6eef8,#0b1220,16,PASS
app\layout.tsx,24,light,"min-h-screen",#0f172a,#ffffff,17.85,PASS
app\layout.tsx,24,dark,"min-h-screen",#e6eef8,#0b1220,16,PASS
app\layout.tsx,25,light,"fixed top-4 right-4 z-50",#0f172a,#ffffff,17.85,PASS
app\layout.tsx,25,dark,"fixed top-4 right-4 z-50",#e6eef8,#0b1220,16,PASS
app\page.tsx,377,light,"rounded-lg border-2 border-gray-200 bg-background text-foreground p-4",#0f172a,#ffffff,17.85,PASS
app\page.tsx,377,dark,"rounded-lg border-2 border-gray-200 bg-background text-foreground p-4",#e6eef8,#0b1220,16,PASS
app\page.tsx,378,light,"flex items-center justify-between mb-3",#0f172a,#ffffff,17.85,PASS
app\page.tsx,378,dark,"flex items-center justify-between mb-3",#e6eef8,#0b1220,16,PASS
app\page.tsx,379,light,"text-sm font-bold text-foreground",#0f172a,#ffffff,17.85,PASS
app\page.tsx,379,dark,"text-sm font-bold text-foreground",#e6eef8,#0b1220,16,PASS
app\page.tsx,380,light,"flex gap-2",#0f172a,#ffffff,17.85,PASS
app\page.tsx,380,dark,"flex gap-2",#e6eef8,#0b1220,16,PASS
app\page.tsx,384,light,"text-xs font-semibold text-blue-600 dark:text-blue-300 hover:text-blue-700 dark:hover:text-blue-400",#0f172a,#ffffff,17.85,PASS
app\page.tsx,384,dark,"text-xs font-semibold text-blue-600 dark:text-blue-300 hover:text-blue-700 dark:hover:text-blue-400",#93c5fd,#0b1220,10.38,PASS
app\page.tsx,388,light,"text-gray-300 dark:text-gray-500",#d1d5db,#ffffff,1.47,FAIL
app\page.tsx,388,dark,"text-gray-300 dark:text-gray-500",#6b7280,#0b1220,3.87,FAIL
app\page.tsx,392,light,"text-xs font-semibold text-gray-600 dark:text-gray-300 hover:text-gray-700 dark:hover:text-gray-200",#0f172a,#ffffff,17.85,PASS
app\page.tsx,392,dark,"text-xs font-semibold text-gray-600 dark:text-gray-300 hover:text-gray-700 dark:hover:text-gray-200",#d1d5db,#0b1220,12.71,PASS
app\page.tsx,398,light,"flex flex-wrap gap-2",#0f172a,#ffffff,17.85,PASS
app\page.tsx,398,dark,"flex flex-wrap gap-2",#e6eef8,#0b1220,16,PASS
app\page.tsx,470,light,"relative",#0f172a,#ffffff,17.85,PASS
app\page.tsx,470,dark,"relative",#e6eef8,#0b1220,16,PASS
app\page.tsx,473,light,"mb-1.5 block text-sm font-semibold text-foreground",#0f172a,#ffffff,17.85,PASS
app\page.tsx,473,dark,"mb-1.5 block text-sm font-semibold text-foreground",#e6eef8,#0b1220,16,PASS
app\page.tsx,477,light,"relative",#0f172a,#ffffff,17.85,PASS
app\page.tsx,477,dark,"relative",#e6eef8,#0b1220,16,PASS
app\page.tsx,491,light,"w-full rounded-lg border-2 border-gray-300 dark:border-gray-700 bg-background text-foreground px-4 py-3 text-sm font-medium shadow-sm transition-all placeholder:text-gray-400 dark:placeholder:text-gray-500 focus:border-blue-500 focus:outline-none focus:ring-4 focus:ring-blue-500/20",#0f172a,#ffffff,17.85,PASS
app\page.tsx,491,dark,"w-full rounded-lg border-2 border-gray-300 dark:border-gray-700 bg-background text-foreground px-4 py-3 text-sm font-medium shadow-sm transition-all placeholder:text-gray-400 dark:placeholder:text-gray-500 focus:border-blue-500 focus:outline-none focus:ring-4 focus:ring-blue-500/20",#e6eef8,#0b1220,16,PASS
app\page.tsx,493,light,"pointer-events-none absolute right-3 top-1/2 -translate-y-1/2 text-gray-400 dark:text-gray-500",#9ca3af,#ffffff,2.54,FAIL
app\page.tsx,493,dark,"pointer-events-none absolute right-3 top-1/2 -translate-y-1/2 text-gray-400 dark:text-gray-500",#6b7280,#0b1220,3.87,FAIL
app\page.tsx,498,light,"absolute z-20 mt-1 max-h-64 w-full overflow-y-auto rounded-lg border border-gray-200 bg-background text-foreground shadow-xl",#0f172a,#ffffff,17.85,PASS
app\page.tsx,498,dark,"absolute z-20 mt-1 max-h-64 w-full overflow-y-auto rounded-lg border border-gray-200 bg-background text-foreground shadow-xl",#e6eef8,#0b1220,16,PASS
app\page.tsx,507,light,"w-full px-4 py-2.5 text-left text-sm font-medium transition-colors hover:bg-blue-50 dark:hover:bg-blue-900 hover:text-blue-700 dark:hover:text-blue-300",#0f172a,#ffffff,17.85,PASS
app\page.tsx,507,dark,"w-full px-4 py-2.5 text-left text-sm font-medium transition-colors hover:bg-blue-50 dark:hover:bg-blue-900 hover:text-blue-700 dark:hover:text-blue-300",#e6eef8,#0b1220,16,PASS
app\page.tsx,538,light,"flex items-start justify-between gap-4",#0f172a,#ffffff,17.85,PASS
app\page.tsx,538,dark,"flex items-start justify-between gap-4",#e6eef8,#0b1220,16,PASS
app\page.tsx,539,light,"flex items-center gap-4 flex-1",#0f172a,#ffffff,17.85,PASS
app\page.tsx,539,dark,"flex items-center gap-4 flex-1",#e6eef8,#0b1220,16,PASS
app\page.tsx,540,light,"flex h-12 w-12 shrink-0 items-center justify-center rounded-xl text-lg font-bold shadow-md bg-gray-200 dark:bg-gray-700",#0f172a,#e5e7eb,14.42,PASS
app\page.tsx,540,dark,"flex h-12 w-12 shrink-0 items-center justify-center rounded-xl text-lg font-bold shadow-md bg-gray-200 dark:bg-gray-700",#e6eef8,#374151,8.81,PASS
app\page.tsx,543,light,"flex-1",#0f172a,#ffffff,17.85,PASS
app\page.tsx,543,dark,"flex-1",#e6eef8,#0b1220,16,PASS
app\page.tsx,544,light,"text-xl font-bold leading-tight text-foreground",#0f172a,#ffffff,17.85,PASS
app\page.tsx,544,dark,"text-xl font-bold leading-tight text-foreground",#e6eef8,#0b1220,16,PASS
app\page.tsx,548,light,"mt-1.5 flex items-center gap-2",#0f172a,#ffffff,17.85,PASS
app\page.tsx,548,dark,"mt-1.5 flex items-center gap-2",#e6eef8,#0b1220,16,PASS
app\page.tsx,549,light,"inline-flex items-center gap-1 rounded-full bg-blue-600 px-3 py-1 text-xs font-bold text-white shadow-sm",#0f172a,#2563eb,3.45,FAIL
app\page.tsx,549,dark,"inline-flex items-center gap-1 rounded-full bg-blue-600 px-3 py-1 text-xs font-bold text-white shadow-sm",#e6eef8,#0b1220,16,PASS
app\page.tsx,556,light,"text-right",#0f172a,#ffffff,17.85,PASS
app\page.tsx,556,dark,"text-right",#e6eef8,#0b1220,16,PASS
app\page.tsx,557,light,"text-3xl font-bold tabular-nums text-foreground",#0f172a,#ffffff,17.85,PASS
app\page.tsx,557,dark,"text-3xl font-bold tabular-nums text-foreground",#e6eef8,#0b1220,16,PASS
app\page.tsx,559,light,"text-base font-semibold text-gray-500",#0f172a,#ffffff,17.85,PASS
app\page.tsx,559,dark,"text-base font-semibold text-gray-500",#e6eef8,#0b1220,16,PASS
